Icon URL,Price,Languages,Genres,Names,Total(million)
https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/fd/bc/b7/fdbcb771-f803-b581-48d3-372394a57eae/source/512x512bb.jpg,0.0,"AR, ZH, CS, EN, FR, DE, HI, ID, IT, JA, KO, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, UK","Games, Adventure, Strategy",Stick War: Legacy,19826.44
https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/1a/3f/d8/1a3fd8cd-cd5d-2610-aa85-38410a612bc8/source/512x512bb.jpg,9.99,"AR, HY, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, FA, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI","Education, Puzzle, Games, Strategy",LetsCode:Java,15337.400000000003
https://is1-ssl.mzstatic.com/image/thumb/Purple6/v4/a3/e6/aa/a3e6aa59-d01b-2ea6-88ee-751feee61728/source/512x512bb.jpg,0.0,"AR, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI","Games, Entertainment, Puzzle, Strategy",Bubble Popping King Saga Free - Smash hit bubble trouble buster mania crush deluxe game struggle super memory match wrap blast break unblock pops up 2048 math skyline shotter heros juegos gratis bubble tea board puzzle bubble finder blitz twist spiele,15232.000000000002
https://is4-ssl.mzstatic.com/image/thumb/Purple128/v4/17/02/98/1702985a-06c2-b295-3f97-52c3c8ded789/source/512x512bb.jpg,0.0,"AR, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI","Games, Action, Entertainment, Strategy",Kingdom Shadows,15232.000000000002
https://is5-ssl.mzstatic.com/image/thumb/Purple118/v4/1d/d4/b4/1dd4b46a-c450-2ebe-1c10-8c8da41fd473/source/512x512bb.jpg,0.0,"CS, DA, NL, EN, FI, FR, DE, EL, HE, ID, IT, JA, KO, MS, NB, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI","Games, Strategy, Action",Mutant Fighting Arena,14507.600000000002
https://is1-ssl.mzstatic.com/image/thumb/Purple111/v4/55/03/9c/55039cd7-95e4-592b-3c66-d5510fdb6f65/source/512x512bb.jpg,0.99,"AR, NL, EN, FR, DE, IT, JA, PL, PT, RU, ZH, ES, SV, ZH, TR","Games, Board, Entertainment, Strategy",Battle On The Sea for iPad,13931.999999999998
https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/a5/6e/74/a56e74ea-b5ac-15ef-23ec-9de163c4611f/source/512x512bb.jpg,0.0,"ZH, EN, ZH, ZH","Games, Strategy, Puzzle",JNLeatherFactory-Crushing fake,13826.0
https://is2-ssl.mzstatic.com/image/thumb/Purple49/v4/85/03/36/850336ab-2859-a381-0fc5-913fbd5edb56/source/512x512bb.jpg,0.99,"DA, NL, EN, FI, FR, DE, EL, HE, HU, IT, JA, KO, NB, PL, PT, RU, ZH, SK, ES, SV, ZH, TR","Games, Strategy, Action",DayD Tower Rush HD,13716.199999999999
https://is3-ssl.mzstatic.com/image/thumb/Purple60/v4/87/df/5a/87df5aa9-5970-eb3e-f165-ee779f35ed44/source/512x512bb.jpg,0.0,"CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ZH, ES, SV, ZH, TR","Games, Strategy, Board, Entertainment",Rummy Znappy,13685.6
https://is4-ssl.mzstatic.com/image/thumb/Purple62/v4/9b/9d/d0/9b9dd016-2fc3-3635-7692-e82391636a17/source/512x512bb.jpg,0.0,"CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ZH, ES, SV, ZH, TR","Games, Strategy, Action",Stick World:Stickman Killer,13685.6
